Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
0,1,2023-08-21,La Liga,Matchweek 2,Home,Luis Rioja,Sevilla,Y,0.03,0.18,Left Foot,26.0,7,0-0,Marko Dmitrović,Jon Guridi,Jon Guridi,Pass (Live),Xeber,Pass (Live),,LW,MF,RW
1,2,2023-08-21,La Liga,Matchweek 2,Home,Rubén Duarte,Sevilla,Y*,0.02,0.2,Left Foot,31.0,44,1-2,Marko Dmitrović,Luis Rioja,Luis Rioja,Pass (Live),Kiké,Pass (Live),,LB,LW,CAM
2,3,2023-08-21,La Liga,Matchweek 2,Home,Kiké,Sevilla,Y,0.35,0.64,Head,9.0,54,2-2,Marko Dmitrović,Jon Guridi,Jon Guridi,Pass (Live),Luis Rioja,Pass (Live),,CAM,MF,LW
3,4,2023-08-21,La Liga,Matchweek 2,Home,Kiké,Sevilla,Y,0.34,0.98,Left Foot,8.0,59,3-2,Marko Dmitrović,Luis Rioja,Kiké,Take-On,Luis Rioja,Pass (Live),,CAM,CAM,LW
5,6,2023-09-28,La Liga,Matchweek 7,Away,Samuel Omorodion,Celta Vigo,Y,0.82,0.94,Right Foot,4.0,73,0-1,Iván Villar,Javi López,Javi López,Pass (Live),Javi López,Take-On,,ST,CB,CB
7,8,2023-10-22,La Liga,Matchweek 10,Away,Samuel Omorodion,Villarreal,Y,0.34,0.62,Right Foot,14.0,48,0-0,Filip Jørgensen,Jon Guridi,Jon Guridi,Pass (Live),Luis Rioja,Pass (Live),,ST,MF,LW
8,9,2023-10-29,La Liga,Matchweek 11,Away,Ander Guevara,Atlético Madrid,Y,0.12,0.19,Left Foot,22.0,90+6,0-2,Jan Oblak,Ianis Hagi,Ianis Hagi,Pass (Live),Andoni Gorosabel,Pass (Live),,MF,CAM,RB
9,10,2023-11-02,Copa del Rey,First round,Away,Abderrahman Rebbach,Deportivo Murcia,Y,,,,,7,0-0,Toni,Nahuel Tenaglia,Nahuel Tenaglia,,,,,LW,RB,
10,11,2023-11-02,Copa del Rey,First round,Away,Rubén Duarte,Deportivo Murcia,Y*,,,,,13,1-0,Toni,Abderrahman Rebbach,Abderrahman Rebbach,,,,,LB,LW,
11,12,2023-11-02,Copa del Rey,First round,Away,Abderrahman Rebbach,Deportivo Murcia,Y,,,,,38,2-0,Toni,Alex Sola,Alex Sola,,,,,LW,RW,
12,13,2023-11-02,Copa del Rey,First round,Away,Xeber,Deportivo Murcia,Y,,,,,52,3-0,Toni,Abderrahman Rebbach,Abderrahman Rebbach,,,,,RW,LW,
13,14,2023-11-02,Copa del Rey,First round,Away,Xeber,Deportivo Murcia,Y,,,,,60,4-0,Toni,Tomás Mendes,Tomás Mendes,,,,,RW,MF,
16,17,2023-11-02,Copa del Rey,First round,Away,Jon Karrikaburu,Deportivo Murcia,Y,,,,,75,7-0,Toni,Tomás Mendes,Tomás Mendes,,,,,CAM,MF,
17,18,2023-11-02,Copa del Rey,First round,Away,Ianis Hagi,Deportivo Murcia,N,,,,,80,8-0,Toni,Xeber,Xeber,,,,,CAM,RW,
18,19,2023-11-02,Copa del Rey,First round,Away,Jon Karrikaburu,Deportivo Murcia,Y,,,,,89,9-0,Toni,Xeber,Xeber,,,,,CAM,RW,
19,20,2023-11-05,La Liga,Matchweek 12,Home,Aleksandar Sedlar,Almería,Y,0.11,0.28,Right Foot,13.0,79,0-0,Luís Maximiano,,Jon Guridi,Shot,,,Volley,CB,MF,
20,21,2023-11-12,La Liga,Matchweek 13,Away,Samuel Omorodion,Barcelona,Y,0.45,0.85,Left Foot,7.0,1,0-0,Marc-André ter Stegen,Javi López,Javi López,Pass (Live),Jon Guridi,Pass (Live),,ST,CB,MF
22,23,2023-11-24,La Liga,Matchweek 14,Home,Abderrahman Rebbach,Granada,Y,0.11,0.4,Right Foot,12.0,38,1-0,André Ferreira,Javi López,Javi López,Pass (Live),Jon Guridi,Pass (Live),,LW,CB,MF
23,24,2023-11-24,La Liga,Matchweek 14,Home,Samuel Omorodion,Granada,Y,0.48,0.6,Head,6.0,55,2-0,André Ferreira,Luis Rioja,Luis Rioja,Pass (Live),Ander Guevara,Pass (Live),,ST,LW,MF
25,26,2024-01-02,La Liga,Matchweek 19,Away,Luis Rioja,Real Sociedad,Y*,0.79,1.0,Left Foot,13.0,76,0-0,Unai Marrero,,Ander Guevara,Fouled,Javi López,Pass (Live),,LW,MF,CB
27,28,2024-01-12,La Liga,Matchweek 20,Away,Nahuel Tenaglia,Sevilla,Y,0.36,0.53,Right Foot,8.0,26,0-0,Marko Dmitrović,Jon Guridi,Jon Guridi,Shot,,,,RB,MF,
28,29,2024-01-12,La Liga,Matchweek 20,Away,Kiké,Sevilla,Y,0.13,0.32,Right Foot,15.0,40,1-0,Marko Dmitrović,Carlos Vicente,Carlos Vicente,Pass (Live),Javi López,Pass (Live),Deflected,CAM,CAM,CB
29,30,2024-01-12,La Liga,Matchweek 20,Away,Rubén Duarte,Sevilla,N,0.29,0.29,Head,6.0,90,2-2,Marko Dmitrović,Samuel Omorodion,Samuel Omorodion,Shot,,,,LB,ST,
30,31,2024-01-19,La Liga,Matchweek 21,Home,Luis Rioja,Cádiz,Y,0.79,0.98,Left Foot,13.0,51,0-0,Jeremías Ledesma,,Kiké,Fouled,Ander Guevara,Pass (Live),,LW,CAM,MF
31,32,2024-01-26,La Liga,Matchweek 22,Away,Samuel Omorodion,Almería,Y,0.4,0.59,Right Foot,22.0,10,0-0,Luís Maximiano,Carlos Vicente,Carlos Vicente,Pass (Live),,,,ST,CAM,
32,33,2024-01-26,La Liga,Matchweek 22,Away,Luis Rioja,Almería,Y,0.79,0.96,Left Foot,13.0,52,1-0,Luís Maximiano,,Samuel Omorodion,Fouled,Samuel Omorodion,Take-On,,LW,ST,ST
33,34,2024-01-26,La Liga,Matchweek 22,Away,Samuel Omorodion,Almería,Y,0.1,0.29,Left Foot,10.0,88,2-0,Luís Maximiano,Carlos Benavídez,Carlos Benavídez,Pass (Live),Carlos Benavídez,Pass (Live),,ST,MF,MF
34,35,2024-02-03,La Liga,Matchweek 23,Home,Samuel Omorodion,Barcelona,Y,0.08,0.34,Head,12.0,51,0-2,Iñaki Peña,Alex Sola,Alex Sola,Pass (Live),Alex Sola,Take-On,,ST,RW,RW
35,36,2024-02-10,La Liga,Matchweek 24,Home,Samuel Omorodion,Villarreal,Y,0.29,0.92,Head,6.0,25,0-0,Filip Jørgensen,Alex Sola,Alex Sola,Pass (Live),Luis Rioja,Pass (Live),,ST,RW,LW
36,37,2024-02-24,La Liga,Matchweek 26,Home,Carlos Benavídez,Mallorca,N,0.1,0.38,Head,8.0,76,0-0,Predrag Rajković,Luis Rioja,Luis Rioja,Pass (Dead),Andoni Gorosabel,Pass (Live),,MF,LW,RB
37,38,2024-03-10,La Liga,Matchweek 28,Home,Andoni Gorosabel,Rayo Vallecano,Y,0.27,0.78,Right Foot,17.0,44,0-0,Stole Dimitrievski,Antonio Blanco,Antonio Blanco,Pass (Live),Jon Guridi,Pass (Live),,RB,MF,MF
0,1,2023-08-19,La Liga,Matchweek 2,Home,Sergio Arribas,Real Madrid,Y,0.16,0.46,Head,10.0,3,0-0,Andriy Lunin,Lucas Robertone,Lucas Robertone,Pass (Live),Largie Ramazani,Pass (Live),,CAM,MF,LW
1,2,2023-08-26,La Liga,Matchweek 3,Away,Kaiky,Cádiz,N,0.04,0.43,Right Foot,18.0,90+5,0-1,Jeremías Ledesma,,Luís Maximiano,Pass (Dead),Léo Baptistão,Fouled,,CB,GK,ST
2,3,2023-09-01,La Liga,Matchweek 4,Home,Sergio Akieme,Celta Vigo,Y,0.43,0.38,Left Foot,8.0,54,0-2,Iván Villar,Gonzalo Melero,Gonzalo Melero,Pass (Live),Gonzalo Melero,Take-On,,LB,CAM,CAM
3,4,2023-09-01,La Liga,Matchweek 4,Home,Sergio Arribas,Celta Vigo,N,0.87,0.88,Right Foot,4.0,68,1-2,Iván Villar,Largie Ramazani,Largie Ramazani,Pass (Live),Largie Ramazani,Take-On,,CAM,LW,LW
4,5,2023-09-17,La Liga,Matchweek 5,Away,Sergio Akieme,Villarreal,Y,0.27,0.64,Left Foot,11.0,44,0-0,Filip Jørgensen,Lucas Robertone,Lucas Robertone,Pass (Live),Dion Lopy,Pass (Live),,LB,MF,MF
5,6,2023-09-23,La Liga,Matchweek 6,Home,Sergio Arribas,Valencia,Y,0.92,0.99,Right Foot,2.0,59,0-1,Giorgi Mamardashvili,,Gonzalo Melero,Shot,,,Volley,CAM,CAM,
6,7,2023-09-23,La Liga,Matchweek 6,Home,Sergio Arribas,Valencia,Y,0.57,0.96,Left Foot,4.0,69,1-2,Giorgi Mamardashvili,,Sergio Akieme,Shot,,,,CAM,LB,
7,8,2023-09-26,La Liga,Matchweek 7,Away,Luis Javier Suárez,Sevilla,Y,0.79,1.0,Right Foot,13.0,71,0-4,Ørjan Nyland,,Largie Ramazani,Fouled,Luis Javier Suárez,Pass (Live),,LW,LW,LW
8,9,2023-10-01,La Liga,Matchweek 8,Home,Luis Javier Suárez,Granada,Y,0.36,0.78,Left Foot,13.0,41,0-0,André Ferreira,Largie Ramazani,Largie Ramazani,Pass (Live),Dion Lopy,Pass (Live),,LW,LW,MF
9,10,2023-10-01,La Liga,Matchweek 8,Home,Luis Javier Suárez,Granada,Y,0.96,0.96,Right Foot,3.0,44,1-0,André Ferreira,Largie Ramazani,Largie Ramazani,Pass (Live),Largie Ramazani,Take-On,,LW,LW,LW
10,11,2023-10-01,La Liga,Matchweek 8,Home,Luis Javier Suárez,Granada,Y,0.78,0.5,Right Foot,13.0,45+1,2-0,André Ferreira,Largie Ramazani,Luis Javier Suárez,Take-On,Luis Javier Suárez,Take-On,,LW,LW,LW
11,12,2023-10-22,La Liga,Matchweek 10,Away,Léo Baptistão,Girona,Y,0.03,0.03,Right Foot,9.0,2,0-0,Paulo Gazzaniga,Lucas Robertone,Lucas Robertone,Pass (Live),Alejandro Pozo Pozo,Pass (Dead),Deflected,ST,MF,RB
12,13,2023-10-22,La Liga,Matchweek 10,Away,Léo Baptistão,Girona,Y,0.79,0.87,Right Foot,3.0,24,1-0,Paulo Gazzaniga,,Adri Embarba,Shot,,,,ST,RW,
13,14,2023-10-28,La Liga,Matchweek 11,Home,Largie Ramazani,Las Palmas,N,0.04,0.32,Right Foot,17.0,73,0-1,Álvaro Vallés,Lucas Robertone,Lucas Robertone,Pass (Live),Fernando,Pass (Live),,LW,MF,GK
15,16,2023-10-31,Copa del Rey,First round,Away,Marko Milovanović,CF Talavera de la Reina,Y,,,,,45,1-0,Álex Fernández,Sergio Arribas,Sergio Arribas,,,,,ST,CAM,
16,17,2023-11-11,La Liga,Matchweek 13,Home,Sergio Arribas,Real Sociedad,Y,0.13,0.39,Left Foot,10.0,76,0-1,Álex Remiro,,Lázaro,Shot,,,,CAM,LW,
17,18,2023-11-25,La Liga,Matchweek 14,Away,Largie Ramazani,Getafe,Y,0.81,0.98,Right Foot,1.0,7,0-0,David Soria,Juan Brandáriz,Juan Brandáriz,Pass (Live),Adri Embarba,Pass (Dead),,LW,CB,RW
18,19,2023-12-10,La Liga,Matchweek 16,Away,Léo Baptistão,Atlético Madrid,Y,0.42,0.98,Right Foot,2.0,62,0-2,Jan Oblak,,Alejandro Pozo Pozo,Shot,,,,ST,RB,
19,20,2023-12-20,La Liga,Matchweek 18,Away,Léo Baptistão,Barcelona,Y,0.26,0.34,Right Foot,16.0,41,0-1,Iñaki Peña,Sergio Arribas,Sergio Arribas,Pass (Live),,,,ST,CAM,
20,21,2023-12-20,La Liga,Matchweek 18,Away,Édgar González,Barcelona,Y,0.75,0.43,Left Foot,10.0,71,1-2,Iñaki Peña,,Sergio Arribas,Fouled,,,,CDM,CAM,
21,22,2024-01-21,La Liga,Matchweek 21,Away,Largie Ramazani,Real Madrid,Y,0.39,0.7,Right Foot,13.0,1,0-0,Kepa Arrizabalaga,Lucas Robertone,Lucas Robertone,Pass (Live),Sergio Arribas,Pass (Live),,LW,MF,CAM
23,24,2024-02-03,La Liga,Matchweek 23,Away,Sergio Arribas,Valencia,Y,0.42,0.95,Other,5.0,50,0-2,Giorgi Mamardashvili,Álex Centelles,Álex Centelles,Pass (Live),Largie Ramazani,Pass (Live),,CAM,LB,LW
24,25,2024-02-18,La Liga,Matchweek 25,Away,Pubill,Granada,Y,0.02,0.08,Right Foot,20.0,9,0-0,Augusto Batalla,Sergio Arribas,Sergio Arribas,Interception,,,,RB,CAM,
25,26,2024-02-24,La Liga,Matchweek 26,Home,Luka Romero,Atlético Madrid,Y,0.03,0.13,Left Foot,29.0,27,0-1,Jan Oblak,Pubill,Luka Romero,Take-On,Pubill,Pass (Live),,RW,RW,RB
26,27,2024-02-24,La Liga,Matchweek 26,Home,Luka Romero,Atlético Madrid,Y,0.1,0.28,Left Foot,13.0,64,1-2,Jan Oblak,Jonathan Viera,Jonathan Viera,Pass (Live),Luka Romero,Pass (Live),,RW,MF,RW
27,28,2024-03-11,La Liga,Matchweek 28,Home,Adri Embarba,Sevilla,Y*,0.52,0.77,Left Foot,14.0,38,0-0,Ørjan Nyland,Jonathan Viera,Jonathan Viera,Pass (Live),Luka Romero,Pass (Live),,RW,MF,RW
28,29,2024-03-11,La Liga,Matchweek 28,Home,Marko Milovanović,Sevilla,N,0.25,0.39,Head,9.0,90+5,1-2,Ørjan Nyland,Sergio Arribas,Sergio Arribas,Pass (Live),Pubill,Pass (Live),,ST,CAM,RB
29,30,2024-03-17,La Liga,Matchweek 29,Away,Léo Baptistão,Las Palmas,Y,0.44,0.84,Right Foot,11.0,14,0-0,Álvaro Vallés,Largie Ramazani,Largie Ramazani,Pass (Live),Adri Embarba,Pass (Live),,ST,LW,RW
0,1,2023-08-19,La Liga,Matchweek 2,Away,Iñaki Williams,Osasuna,Y,0.44,0.74,Right Foot,5.0,11,0-0,Aitor Fernández,Nico Williams,Nico Williams,Pass (Live),Aitor Paredes,Pass (Live),Volley,RW,LW,CB
1,2,2023-08-19,La Liga,Matchweek 2,Away,Gorka Guruzeta,Osasuna,Y,0.3,0.83,Right Foot,5.0,20,1-0,Aitor Fernández,Nico Williams,Nico Williams,Pass (Live),Nico Williams,Take-On,,ST,LW,LW
2,3,2023-08-27,La Liga,Matchweek 3,Home,Mikel Vesga,Betis,Y,0.79,0.99,Left Foot,13.0,30,0-2,Rui Silva,,Nico Williams,Fouled,Iñaki Williams,Pass (Live),,MF,LW,RW
3,4,2023-08-27,La Liga,Matchweek 3,Home,Mikel Vesga,Betis,Y,0.79,0.96,Left Foot,13.0,45,1-2,Rui Silva,,Nico Williams,Fouled,Nico Williams,Take-On,,MF,LW,LW
4,5,2023-08-27,La Liga,Matchweek 3,Home,Gorka Guruzeta,Betis,Y,0.48,0.65,Right Foot,8.0,45+7,2-2,Rui Silva,Iñaki Williams,Iñaki Williams,Pass (Live),,,,ST,RW,
5,6,2023-08-27,La Liga,Matchweek 3,Home,Unai Gómez,Betis,N,0.51,0.39,Right Foot,12.0,84,3-2,Rui Silva,,Unai Gómez,Pass (Live),Yuri Berchiche,Pass (Live),,MF,MF,LB
6,7,2023-09-16,La Liga,Matchweek 5,Home,Gorka Guruzeta,Cádiz,Y,0.45,0.36,Head,5.0,66,0-0,Jeremías Ledesma,Óscar de Marcos,Óscar de Marcos,Pass (Live),Iñigo Ruiz de Galarreta,Pass (Live),,ST,RB,MF
7,8,2023-09-16,La Liga,Matchweek 5,Home,Asier Villalibre,Cádiz,N,0.25,0.76,Head,5.0,68,1-0,Jeremías Ledesma,,Iñigo Ruiz de Galarreta,Pass (Live),Yeray Álvarez,Pass (Live),,ST,MF,CB
8,9,2023-09-16,La Liga,Matchweek 5,Home,Iñaki Williams,Cádiz,Y,0.46,0.83,Right Foot,6.0,90,2-0,Jeremías Ledesma,Asier Villalibre,Asier Villalibre,Pass (Live),Unai Simón,Pass (Dead),,RW,ST,GK
9,10,2023-09-22,La Liga,Matchweek 6,Away,Iñaki Williams,Alavés,Y,0.49,0.8,Right Foot,14.0,18,0-0,Antonio Sivera,Mikel Vesga,Mikel Vesga,Pass (Live),Iñigo Ruiz de Galarreta,Pass (Live),,RW,MF,MF
10,11,2023-09-22,La Liga,Matchweek 6,Away,Oihan Sancet,Alavés,Y,0.07,0.37,Right Foot,20.0,76,1-0,Antonio Sivera,Iñaki Williams,Iñaki Williams,Pass (Live),Oihan Sancet,Pass (Live),Deflected,MF,RW,MF
11,12,2023-09-27,La Liga,Matchweek 7,Home,Yuri Berchiche,Getafe,Y,0.02,0.06,Left Foot,24.0,6,0-0,David Soria,Álex Berenguer,Álex Berenguer,Pass (Dead),Daniel Vivian,Fouled,,LB,LW,CB
12,13,2023-09-27,La Liga,Matchweek 7,Home,Iñaki Williams,Getafe,Y,0.15,0.67,Left Foot,14.0,62,1-1,David Soria,Óscar de Marcos,Iñaki Williams,Take-On,Óscar de Marcos,Pass (Live),,RW,RW,RB
13,14,2023-10-06,La Liga,Matchweek 9,Home,Gorka Guruzeta,Almería,Y,0.2,0.85,Left Foot,7.0,10,0-0,Luís Maximiano,Yuri Berchiche,Yuri Berchiche,Pass (Live),Nico Williams,Pass (Live),,ST,LB,LW
14,15,2023-10-06,La Liga,Matchweek 9,Home,Dani García,Almería,Y,0.35,0.72,Head,8.0,63,1-0,Luís Maximiano,Óscar de Marcos,Óscar de Marcos,Pass (Live),Oihan Sancet,Pass (Live),,MF,RB,MF
15,16,2023-10-06,La Liga,Matchweek 9,Home,Oihan Sancet,Almería,Y,0.25,0.92,Right Foot,6.0,81,2-0,Luís Maximiano,,Nico Williams,Take-On,Daniel Vivian,Pass (Live),,MF,LW,CB
16,17,2023-10-29,La Liga,Matchweek 11,Home,Óscar de Marcos,Valencia,Y*,0.16,0.22,Right Foot,9.0,32,0-0,Giorgi Mamardashvili,Nico Williams,Nico Williams,Pass (Live),Oihan Sancet,Pass (Live),,RB,LW,MF
17,18,2023-10-29,La Liga,Matchweek 11,Home,Álex Berenguer,Valencia,N,0.63,0.83,Head,5.0,90+7,1-2,Giorgi Mamardashvili,Iñaki Williams,Iñaki Williams,Pass (Live),Óscar de Marcos,Pass (Live),,LW,RW,RB
18,19,2023-11-01,Copa del Rey,First round,Away,Adu Ares,Rubí,Y,,,,,50,0-0,Leva,Raúl García,Raúl García,,,,,LW,CAM,
19,20,2023-11-01,Copa del Rey,First round,Away,Adu Ares,Rubí,Y,,,,,57,1-0,Leva,Álex Berenguer,Álex Berenguer,,,,,LW,LW,
20,21,2023-11-05,La Liga,Matchweek 12,Away,Iñigo Ruiz de Galarreta,Villarreal,Y,0.07,0.4,Right Foot,22.0,2,0-0,Filip Jørgensen,Nico Williams,Nico Williams,Pass (Live),Iñigo Lekue,Pass (Live),,MF,LW,RB
21,22,2023-11-05,La Liga,Matchweek 12,Away,Nico Williams,Villarreal,Y,0.92,0.96,Right Foot,3.0,22,1-0,Filip Jørgensen,Oihan Sancet,Oihan Sancet,Pass (Live),Nico Williams,Pass (Live),,LW,MF,LW
22,23,2023-11-05,La Liga,Matchweek 12,Away,Iñaki Williams,Villarreal,Y,0.06,0.15,Right Foot,22.0,30,2-0,Filip Jørgensen,Oihan Sancet,Oihan Sancet,Pass (Live),,,,RW,MF,
23,24,2023-11-10,La Liga,Matchweek 13,Home,Oihan Sancet,Celta Vigo,Y,0.58,0.96,Right Foot,6.0,37,0-1,Vicente Guaita,,Iñigo Ruiz de Galarreta,Pass (Live),Óscar de Marcos,Pass (Live),Volley,MF,MF,RB
24,25,2023-11-10,La Liga,Matchweek 13,Home,Gorka Guruzeta,Celta Vigo,Y,0.34,0.85,Right Foot,5.0,45+5,1-2,Vicente Guaita,Nico Williams,Nico Williams,Pass (Live),Iñigo Lekue,Pass (Live),,ST,LW,RB
25,26,2023-11-10,La Liga,Matchweek 13,Home,Gorka Guruzeta,Celta Vigo,Y,0.81,0.5,Right Foot,4.0,52,2-2,Vicente Guaita,,Nico Williams,Shot,,,,ST,LW,
27,28,2023-11-27,La Liga,Matchweek 14,Away,Iñaki Williams,Girona,Y,0.14,0.29,Left Foot,17.0,67,0-1,Paulo Gazzaniga,Oihan Sancet,Oihan Sancet,Pass (Live),Mikel Vesga,Pass (Live),,RW,MF,MF
28,29,2023-12-02,La Liga,Matchweek 15,Home,Gorka Guruzeta,Rayo Vallecano,Y,0.55,0.69,Right Foot,12.0,23,0-0,Stole Dimitrievski,Oihan Sancet,Oihan Sancet,Pass (Live),,,,ST,MF,
30,31,2023-12-02,La Liga,Matchweek 15,Home,Iñaki Williams,Rayo Vallecano,Y,0.18,0.76,Right Foot,6.0,64,2-0,Stole Dimitrievski,Gorka Guruzeta,Gorka Guruzeta,Pass (Live),Oihan Sancet,Pass (Live),,RW,ST,MF
31,32,2023-12-02,La Liga,Matchweek 15,Home,Nico Williams,Rayo Vallecano,Y,0.02,0.46,Right Foot,17.0,68,3-0,Stole Dimitrievski,Iñigo Lekue,Iñigo Lekue,Pass (Live),Iñigo Ruiz de Galarreta,Pass (Live),Deflected,LW,RB,MF
34,35,2023-12-07,Copa del Rey,Second round,Away,Nico Williams,Cayón,N,,,,,85,2-0,Pablo Galnares,Iñigo Ruiz de Galarreta,Iñigo Ruiz de Galarreta,,,,,LW,MF,
35,36,2023-12-11,La Liga,Matchweek 16,Away,Iñaki Williams,Granada,Y,0.1,0.04,Head,10.0,6,0-0,André Ferreira,,Iñigo Ruiz de Galarreta,Pass (Live),Nico Williams,Pass (Live),,RW,MF,LW
36,37,2023-12-16,La Liga,Matchweek 17,Home,Gorka Guruzeta,Atlético Madrid,Y,0.33,0.89,Right Foot,4.0,51,0-0,Jan Oblak,Ander Herrera,Ander Herrera,Pass (Live),Iñaki Williams,Pass (Live),,ST,MF,RW
37,38,2023-12-16,La Liga,Matchweek 17,Home,Nico Williams,Atlético Madrid,Y,0.04,0.67,Left Foot,16.0,64,1-0,Jan Oblak,Iñigo Lekue,Iñigo Lekue,Pass (Live),Gorka Guruzeta,Pass (Live),,LW,RB,ST
38,39,2023-12-20,La Liga,Matchweek 18,Home,Unai Gómez,Las Palmas,N,0.11,0.57,Head,17.0,90+4,0-0,Álvaro Vallés,,Unai Gómez,Pass (Live),Álex Berenguer,Pass (Live),,MF,MF,LW
39,40,2024-01-04,La Liga,Matchweek 19,Away,Mikel Vesga,Sevilla,Y,0.13,0.78,Head,9.0,30,0-0,Marko Dmitrović,Iñigo Ruiz de Galarreta,Iñigo Ruiz de Galarreta,Pass (Live),Iñigo Lekue,Pass (Live),,MF,MF,RB
40,41,2024-01-04,La Liga,Matchweek 19,Away,Aitor Paredes,Sevilla,Y,0.34,0.63,Right Foot,9.0,76,1-0,Marko Dmitrović,Ander Herrera,Ander Herrera,Pass (Live),Nico Williams,Pass (Live),Volley,CB,MF,LW
41,42,2024-01-07,Copa del Rey,Round of 32,Away,Asier Villalibre,Eibar,Y,,,,,17,0-0,Yoel,Nico Williams,Nico Williams,,,,,ST,LW,
42,43,2024-01-07,Copa del Rey,Round of 32,Away,Iker Muniain,Eibar,Y*,,,,,33,1-0,Yoel,Nico Williams,Nico Williams,,,,,CAM,LW,
43,44,2024-01-07,Copa del Rey,Round of 32,Away,Asier Villalibre,Eibar,Y,,,,,40,2-0,Yoel,Daniel Vivian,Daniel Vivian,,,,,ST,CB,
44,45,2024-01-13,La Liga,Matchweek 20,Home,Álex Berenguer,Real Sociedad,Y,0.95,0.98,Left Foot,2.0,30,0-0,Unai Marrero,,Nico Williams,Pass (Live),Yuri Berchiche,Pass (Live),,LW,LW,LB
45,46,2024-01-13,La Liga,Matchweek 20,Home,Álex Berenguer,Real Sociedad,Y,0.22,0.74,Left Foot,13.0,42,1-0,Unai Marrero,,Gorka Guruzeta,Shot,,,,LW,ST,
46,47,2024-01-16,Copa del Rey,Round of 16,Home,Asier Villalibre,Alavés,Y,,,,,28,0-0,Antonio Sivera,Oihan Sancet,Oihan Sancet,,,,,ST,MF,
47,48,2024-01-16,Copa del Rey,Round of 16,Home,Asier Villalibre,Alavés,Y,,,,,60,1-0,Antonio Sivera,Óscar de Marcos,Óscar de Marcos,,,,,ST,RB,
49,50,2024-01-24,Copa del Rey,Quarter-finals,Home,Oihan Sancet,Barcelona,Y,,,,,49,1-2,Iñaki Peña,Nico Williams,Nico Williams,,,,,MF,LW,
51,52,2024-01-24,Copa del Rey,Quarter-finals,Home,Nico Williams,Barcelona,Y,,,,,120+1,3-2,Iñaki Peña,Iñaki Williams,Iñaki Williams,,,,,LW,RW,
52,53,2024-02-02,La Liga,Matchweek 23,Home,Yuri Berchiche,Mallorca,Y,0.05,0.36,Left Foot,15.0,3,0-0,Predrag Rajković,Nico Williams,Nico Williams,Pass (Dead),Iñaki Williams,Fouled,Volley,LB,LW,RW
53,54,2024-02-02,La Liga,Matchweek 23,Home,Yuri Berchiche,Mallorca,Y,0.07,0.37,Right Foot,14.0,16,1-0,Predrag Rajković,Gorka Guruzeta,Gorka Guruzeta,Pass (Live),Nico Williams,Pass (Dead),Volley,LB,ST,LW
54,55,2024-02-02,La Liga,Matchweek 23,Home,Gorka Guruzeta,Mallorca,Y,0.41,0.81,Left Foot,7.0,62,2-0,Predrag Rajković,Oihan Sancet,Oihan Sancet,Shot,,,,ST,MF,
55,56,2024-02-02,La Liga,Matchweek 23,Home,Iker Muniain,Mallorca,N,0.26,0.66,Right Foot,15.0,89,3-0,Predrag Rajković,Óscar de Marcos,Óscar de Marcos,Pass (Live),Adu Ares,Pass (Live),,CAM,RB,LW
58,59,2024-02-19,La Liga,Matchweek 25,Home,Álex Berenguer,Girona,Y,0.22,0.61,Right Foot,14.0,56,1-1,Paulo Gazzaniga,Gorka Guruzeta,Gorka Guruzeta,Pass (Live),,,,LW,ST,
59,60,2024-02-19,La Liga,Matchweek 25,Home,Iñaki Williams,Girona,Y*,0.12,0.04,Right Foot,16.0,60,2-1,Paulo Gazzaniga,,Yuri Berchiche,Pass (Live),Álex Berenguer,Pass (Live),,RW,LB,LW
60,61,2024-02-25,La Liga,Matchweek 26,Away,Gorka Guruzeta,Betis,Y,0.08,0.16,Head,5.0,45+7,0-2,Rui Silva,Álex Berenguer,Álex Berenguer,Pass (Dead),,,,ST,LW,
61,62,2024-02-29,Copa del Rey,Semi-finals,Home,Iñaki Williams,Atlético Madrid,Y,,,,,13,0-0,Jan Oblak,Nico Williams,Nico Williams,,,,,RW,LW,
62,63,2024-02-29,Copa del Rey,Semi-finals,Home,Nico Williams,Atlético Madrid,Y,,,,,42,1-0,Jan Oblak,Iñaki Williams,Iñaki Williams,,,,,LW,RW,
64,65,2024-03-10,La Liga,Matchweek 28,Away,Gorka Guruzeta,Las Palmas,Y,0.41,0.15,Head,4.0,31,0-0,Álvaro Vallés,Nico Williams,Nico Williams,Pass (Live),Iñigo Ruiz de Galarreta,Pass (Live),,ST,LW,MF
66,67,2024-03-16,La Liga,Matchweek 29,Home,Gorka Guruzeta,Alavés,Y,0.19,0.95,Right Foot,8.0,32,0-0,Antonio Sivera,Nico Williams,Nico Williams,Pass (Live),Beñat Prados,Pass (Live),,ST,LW,CDM
67,68,2024-03-16,La Liga,Matchweek 29,Home,Gorka Guruzeta,Alavés,Y,0.1,0.29,Right Foot,20.0,37,1-0,Antonio Sivera,,Yeray Álvarez,Pass (Live),Unai Simón,Pass (Live),,ST,CB,GK
68,69,2024-04-06,Copa del Rey,Final,Home,Oihan Sancet,Mallorca,Y,,,,,50,0-1,Dominik Greif,Nico Williams,Nico Williams,,,,,MF,LW,
